Min (5, 71), New (105, 109), Fix (5, 73), D: 2.000000
Min (5, 73), New (6, 109), Fix (5, 80), D: 7.000000
Min (5, 71), New (108, 40), Fix (5, 69), D: 2.000000
Min (5, 80), New (25, 101), Fix (5, 85), D: 5.000000
Min (5, 69), New (23, 16), Fix (5, 63), D: 6.000000
Min (5, 63), New (42, 38), Fix (5, 60), D: 3.000000
Min (5, 85), New (16, 102), Fix (5, 92), D: 7.000000
Min (5, 92), New (31, 96), Fix (5, 93), D: 1.000000
Min (5, 93), New (62, 109), Fix (5, 95), D: 2.000000
Min (5, 95), New (95, 108), Fix (5, 96), D: 1.000000
Min (5, 96), New (97, 110), Fix (5, 97), D: 1.000000
Min (5, 69), New (8, 67), Fix (5, 66), D: 3.000000
Min (5, 85), New (7, 84), Fix (5, 82), D: 3.000000
Min (5, 97), New (79, 120), Fix (5, 99), D: 2.000000
Min (5, 92), New (19, 90), Fix (5, 91), D: 1.000000
Min (5, 80), New (24, 77), Fix (5, 79), D: 1.000000
Min (5, 73), New (14, 76), Fix (5, 75), D: 2.000000
Min (5, 95), New (4, 94), Fix (5, 89), D: 6.000000
Min (5, 85), New (12, 84), Fix (5, 84), D: 1.000000
Min (5, 80), New (7, 81), Fix (5, 83), D: 3.000000
Min (5, 66), New (0, 65), Fix (5, 65), D: 1.000000
Min (5, 69), New (1, 68), Fix (5, 68), D: 1.000000
Min (5, 71), New (11, 72), Fix (5, 72), D: 1.000000
Min (5, 60), New (6, 61), Fix (5, 64), D: 4.000000
Min (5, 63), New (3, 62), Fix (5, 61), D: 2.000000
Min (5, 80), New (5, 80), Fix (5, 88), D: 8.000000
Min (5, 85), New (1, 86), Fix (5, 87), D: 2.000000
Min (5, 63), New (0, 62), Fix (5, 62), D: 1.000000
Min (5, 80), New (0, 81), Fix (5, 81), D: 1.000000
Min (5, 79), New (9, 78), Fix (5, 78), D: 1.000000
Min (5, 87), New (13, 86), Fix (5, 86), D: 1.000000
Min (5, 75), New (9, 76), Fix (5, 76), D: 1.000000
Min (5, 78), New (12, 77), Fix (5, 77), D: 1.000000
Min (5, 66), New (6, 67), Fix (5, 70), D: 4.000000
Min (5, 97), New (13, 98), Fix (5, 98), D: 1.000000
Min (5, 86), New (5, 86), Fix (5, 94), D: 8.000000
Min (5, 73), New (10, 74), Fix (5, 74), D: 1.000000
Min (5, 82), New (5, 82), Fix (5, 90), D: 8.000000
Min (5, 66), New (0, 67), Fix (5, 67), D: 1.000000
